Companynumber,Latitude,Longitude,cluster
"08786229","53.33204","-2.64215","6"
"06522217","53.01728","-2.25417","6"
"11427267","51.51754","-0.10827","2"
"11427267","50.71029","-3.48676","0"
"08190151","53.72201","-0.42129","4"
"07917955","51.41828","-0.20218","2"
"07917955","51.49156","-0.77452","0"
"07917955","51.47215","-0.51497","2"
"13013369","52.79674","-0.12844","0"
"09264169","51.43535","-0.50505","2"
"09264169","57.11543","-2.07864","0"
"09264169","57.14165","-2.14748","0"
"09365904","54.56384","-0.96211","0"
"09365904","54.82211","-1.32768","7"
"04666043","51.90336","0.78272","0"
"08671303","52.79674","-0.12844","0"
"11051348","50.84075","-1.08276","1"
"07702073","52.48379","-1.89594","5"
"07702073","53.40891","-2.99058","6"
"07702073","51.6401","-3.02389","0"
"08373544","51.90336","0.78272","0"
"08373544","51.87228","0.6879","0"
"08627828","51.58677","-2.84128","0"
"00883132","51.51421","-0.08476","2"
"00883132","51.51524","-0.08638","2"
"00883132","51.50468","-0.09762","2"
SC587392,"56.00285","-2.5168","0"
SC587392,"50.83866","-0.19102","0"
SC587392,"50.86416","0.25768","0"
"04632756","51.49885","-0.01457","2"
"09964744","53.44466","-0.19457","0"
"05659614","53.52894","-2.66117","6"
"05659614","53.53807","-2.79129","6"
"10072338","51.58677","-2.84128","0"
"12668233","51.51345","-0.08548","2"
"12668233","51.51524","-0.08638","2"
"12668233","51.51421","-0.08476","2"
"07413288","51.49403","-0.13023","2"
"07413288","51.51892","-0.11138","2"
"10305880","51.9001","-2.07897","5"
"10305880","51.89895","-2.1563","5"
"04366668","51.27689","0.39681","0"
"04366668","51.27833","0.39579","0"
"07072502","51.50942","-0.22296","2"
"07072502","50.05674","-5.18536","0"
"12792126","51.51847","-0.1424","2"
"06783485","51.51339","-0.08152","2"
"06783485","51.39941","-1.32152","0"
"06783485","51.51525","-0.08036","2"
"06783485","53.46692","-2.30084","6"
"06783485","50.84202","-1.10184","1"
"06783485","55.8631","-4.25507","8"
"07114545","52.28156","-2.1759","5"
"07114545","52.21685","-2.217","5"
"08597161","52.26521","0.19104","0"
"08597161","52.28156","-2.1759","5"
"08597161","52.21685","-2.217","5"
"07553926","52.25219","-0.91759","0"
"11892854","52.28156","-2.1759","5"
"11892854","52.21685","-2.217","5"
"05495455","51.58147","-1.31088","0"
"09523974","55.01168","-1.66314","7"
SC582522,"55.94812","-3.20984","8"
"10285348","54.9309","-2.95665","0"
"06472696","50.7226","-1.86283","0"
"10844874","50.7226","-1.86283","0"
"07983353","53.32465","-2.23483","6"
"04932303","53.78773","-1.56601","0"
"09187893","51.38078","-2.37242","0"
"11738914","51.50441","-0.08037","2"
"11738914","51.51477","-0.0721","2"
"11738914","51.73049","-1.20512","0"
"11738914","54.11402","-1.18182","0"
"11738914","52.68144","-2.03758","5"
"11738914","53.07633","-2.51735","6"
"11738914","51.41278","-0.78747","3"
"11738914","52.03777","-2.67956","0"
"03601393","53.79163","-1.54778","0"
"03601393","50.7226","-1.86283","0"
"03601393","50.78169","-1.85279","0"
"10781202","51.60462","-0.7006","0"
"10781202","51.41527","-0.76112","0"
"12008248","52.00561","-2.12699","5"
"05869065","51.37193","-0.45639","2"
"05869065","51.5224","-0.14469","2"
"07006157","54.02796","-0.3201","0"
"07476617","51.67583","-1.3018","0"
"08428499","51.3292","-2.88606","0"
"07222543","51.49344","-0.21797","2"
"08657390","51.52439","-0.11068","2"
"08657390","51.53739","-0.20331","2"
"08657390","51.51684","-0.13776","2"
"05494561","53.18142","-2.92371","6"
"11325193","51.61573","-0.71104","0"
"11325193","51.66051","-0.90421","0"
"07128049","51.5005","-0.16176","2"
"07429808","51.57722","0.06639","2"
"07429808","51.53074","-0.09371","2"
"06957471","51.76061","-0.012070000000000001","0"
"06957471","50.86084","0.24872","0"
"01612286","51.3758","-0.12396","2"
"01612286","53.753660000000004","-0.31808","4"
"07849963","51.63125","-0.12737","2"
"07849963","51.63126","-0.12734","2"
"07849963","51.63353","-0.12671","2"
"12580771","52.65006","-1.20717","0"
"12580771","52.86908","-1.34397","0"
"11602319","52.74972","-1.91841","5"
"07796486","51.5005","-0.16176","2"
"07489096","51.52382","-0.11029","2"
"07489096","51.51733","-0.14238","2"
"10174559","52.48542","-1.15797","0"
"10174559","53.77964","-1.82169","0"
"10174559","50.99682","-0.10095","0"
"10389581","50.8778","-1.25191","1"
"12703579","53.48433","-2.23354","6"
